方案,任务组,服务区数,服务区列表,运输架次,中继架次,A机,B机,C机,A电池,B电池,C电池,中继机,中继组件,能耗kWh,工作量h
K=1,G1,15,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S014|S015,16,14,0,0,2,0,0,5,2,4,91.68,10.86
K=2,G1,14,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S015,15,13,0,0,2,0,0,5,2,4,87.266,10.3
K=2,G2,1,S014,1,1,0,0,1,0,0,1,1,1,4.414,0.56
K=3,G1,9,S001|S002|S004|S005|S008|S009|S010|S012|S013,11,8,0,0,2,0,0,4,2,3,56.904,7.31
K=3,G2,4,S003|S006|S007|S011,5,4,0,0,1,0,0,2,1,1,24.113,3.8
K=3,G3,1,S014,1,1,0,0,1,0,0,1,1,1,4.414,0.56
