方案,任务组,服务区数,服务区列表,运输架次,中继架次,A机,B机,C机,A电池,B电池,C电池,中继机,中继组件,能耗kWh,工作量h
K=1,G1,15,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S014|S015,25,6,4,2,2,7,5,5,4,4,79.654,13.95
K=2,G1,14,S001|S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S015,24,6,4,2,2,7,4,5,4,4,77.517,13.43
K=2,G2,1,S014,1,0,0,1,0,0,1,0,0,0,2.136,0.52
K=3,G1,13,S001|S002|S003|S004|S005|S006|S007|S008|S009|S011|S012|S013|S015,23,5,4,2,2,7,4,5,4,4,75.576,13.0
K=3,G2,1,S010,1,1,0,1,0,0,1,0,1,1,1.942,0.43
K=3,G3,1,S014,1,0,0,1,0,0,1,0,0,0,2.136,0.52
