from_id,to_id,distance_m,climb_m,descent_m,cruise_alt_m,op_from_m,op_to_m,max_ground_elev_m,provider_fingerprint,sample_step_m
O01,S001,3053.908920989734,143.42704477201215,87.12704477201214,271.12704477201214,127.7,184.0,221.12704477201217,12c810a78ce49855,30.0
O01,S002,7411.301739741002,179.33542782811253,87.53542782811252,307.0354278281125,127.7,219.5,257.0354278281125,12c810a78ce49855,30.0
O01,S003,7262.516602551254,425.91594145315247,215.11594145315246,553.6159414531525,127.7,338.5,503.61594145315246,12c810a78ce49855,30.0
O01,S004,7714.695363997386,270.79668135593005,170.19668135593002,398.49668135593004,127.7,228.3,348.49668135593004,12c810a78ce49855,30.0
O01,S005,5280.6116741403985,197.65649479053872,130.3564947905387,325.3564947905387,127.7,195.0,275.3564947905387,12c810a78ce49855,30.0
O01,S006,3185.44461546421,236.83192243336765,49.73192243336763,364.53192243336764,127.7,314.8,314.53192243336764,12c810a78ce49855,30.0
O01,S007,4533.928018239476,374.8510996579316,154.05109965793162,502.5510996579316,127.7,348.5,452.5510996579316,12c810a78ce49855,30.0
O01,S008,8079.040501639574,239.50250025632573,96.30250025632574,367.2025002563257,127.7,270.9,317.2025002563257,12c810a78ce49855,30.0
O01,S009,5705.085841236042,164.7934680889776,62.49346808897758,292.4934680889776,127.7,230.0,242.49346808897758,12c810a78ce49855,30.0
O01,S010,4783.614271385789,305.0234314558054,81.12343145580536,432.7234314558054,127.7,351.6,382.7234314558054,12c810a78ce49855,30.0
O01,S011,2808.018086190848,165.42100558840184,81.02100558840183,293.12100558840183,127.7,212.1,243.12100558840183,12c810a78ce49855,30.0
O01,S012,7390.233596672998,285.6839810127214,133.58398101272138,413.3839810127214,127.7,279.8,363.3839810127214,12c810a78ce49855,30.0
O01,S013,4848.698667695701,267.6532188346631,43.65321883466311,395.3532188346631,127.7,351.7,345.3532188346631,12c810a78ce49855,30.0
O01,S014,5418.25832721,458.44294428279073,235.14294428279072,586.1429442827907,127.7,351.0,536.1429442827907,12c810a78ce49855,30.0
O01,S015,6009.165600700977,440.84461814022126,94.04461814022125,568.5446181402212,127.7,474.5,518.5446181402212,12c810a78ce49855,30.0
S001,O01,3053.908920989734,87.12704477201214,143.42704477201215,271.12704477201214,184.0,127.7,221.12704477201217,12c810a78ce49855,30.0
S001,S002,4360.639390144394,123.2145028934222,87.7145028934222,307.2145028934222,184.0,219.5,257.2145028934222,12c810a78ce49855,30.0
S001,S003,7658.535858479678,369.7517509768286,215.2517509768286,553.7517509768286,184.0,338.5,503.75175097682853,12c810a78ce49855,30.0
S001,S004,4927.67523579074,223.91398416565858,179.61398416565856,407.9139841656586,184.0,228.3,357.9139841656586,12c810a78ce49855,30.0
S001,S005,2928.064107627181,130.84856433446504,119.84856433446504,314.84856433446504,184.0,195.0,264.84856433446504,12c810a78ce49855,30.0
S001,S006,5295.619779510997,206.30781810517584,75.50781810517583,390.30781810517584,184.0,314.8,340.30781810517584,12c810a78ce49855,30.0
S001,S007,5187.536592368307,253.12956416773181,88.62956416773181,437.1295641677318,184.0,348.5,387.1295641677318,12c810a78ce49855,30.0
S001,S008,5968.391969756748,181.76703561240367,94.8670356124037,365.7670356124037,184.0,270.9,315.7670356124037,12c810a78ce49855,30.0
S001,S009,2651.2109958395563,108.7612537607373,62.761253760737304,292.7612537607373,184.0,230.0,242.7612537607373,12c810a78ce49855,30.0
S001,S010,3709.5778569679355,244.49851484652726,76.89851484652723,428.49851484652726,184.0,351.6,378.49851484652726,12c810a78ce49855,30.0
S001,S011,2353.956482896794,93.34599160386955,65.24599160386956,277.34599160386955,184.0,212.1,227.34599160386955,12c810a78ce49855,30.0
S001,S012,4697.772277031647,248.86880377259996,153.06880377259995,432.86880377259996,184.0,279.8,382.86880377259996,12c810a78ce49855,30.0
S001,S013,2898.649980306996,192.52993843017077,24.829938430170785,376.5299384301708,184.0,351.7,326.5299384301708,12c810a78ce49855,30.0
S001,S014,5195.700206000998,409.53850957721284,242.53850957721284,593.5385095772128,184.0,351.0,543.5385095772128,12c810a78ce49855,30.0
S001,S015,5500.111561014951,413.80457539208476,123.30457539208476,597.8045753920848,184.0,474.5,547.8045753920848,12c810a78ce49855,30.0
S002,O01,7411.301739741002,87.53542782811252,179.33542782811253,307.0354278281125,219.5,127.7,257.0354278281125,12c810a78ce49855,30.0
S002,S001,4360.639390144394,87.7145028934222,123.2145028934222,307.2145028934222,219.5,184.0,257.2145028934222,12c810a78ce49855,30.0
S002,S003,9776.941051401693,396.65670909752157,277.65670909752157,616.1567090975216,219.5,338.5,566.1567090975216,12c810a78ce49855,30.0
S002,S004,2248.495809936186,112.03770289575124,103.23770289575123,331.53770289575124,219.5,228.3,281.53770289575124,12c810a78ce49855,30.0
S002,S005,3476.2063924830904,186.42502642098088,210.92502642098088,405.9250264209809,219.5,195.0,355.9250264209809,12c810a78ce49855,30.0
S002,S006,9184.823842417456,169.633977450467,74.33397745046699,389.133977450467,219.5,314.8,339.133977450467,12c810a78ce49855,30.0
S002,S007,8118.66037971787,249.04590134774617,120.04590134774617,468.54590134774617,219.5,348.5,418.54590134774617,12c810a78ce49855,30.0
