策略,说明,往返架次数,总运输能耗（kWh）,累计作业时间（s）,并行完工时间（s）,机型使用
ffd_volume,FFD 体积降序 + 最大机型优先,18,75.070591,33729.471,4578.528,C×18
single_C,全程只使用 C 型,18,75.070591,33729.471,4578.528,C×18
nf_as_given,不排序（按附件顺序）+ 最大机型优先,18,75.070591,33729.471,4578.528,C×18
ffd_mass,FFD 质量降序 + 最大机型优先,18,75.070591,33729.471,4578.528,C×18
mixed_largest_first,混合机型，新箱优先选最大机型,18,75.070591,33729.471,4578.528,C×18
single_B,全程只使用 B 型,37,72.860893,58710.764,8083.826,B×37
single_A,全程只使用 A 型,55,118.799841,94225.022,13308.636,A×55
mixed_best_fit,混合机型，新箱优先选能装下的最小机型,55,118.799841,94225.022,13308.636,A×55
